heart_rate,accel_mag,accel_x,accel_y,accel_z,hrv,mov_trend,fatigue
176,0.347,-0.26,0.198,-0.019,56.421,1.21,1
189,0.276,-0.002,0.17,0.091,52.211,1.063,1
81,2.097,-0.38,-0.839,0.979,57.737,1.222,0
76,1.53,0.506,-0.673,-0.138,56.053,1.286,0
115,1.286,0.162,1.305,0.596,57.895,1.257,0
127,1.271,0.771,2.691,-0.475,55.263,1.428,0
140,1.177,0.382,-0.761,-0.226,50.947,1.383,0
146,1.317,0.334,-0.368,-0.145,50.947,1.275,0
138,1.142,-0.487,0.269,-0.565,45.632,1.207,0
126,1.649,1.057,-1.272,-0.538,42.105,1.252,0
165,1.177,0.163,0.505,0.107,42.684,1.157,0
94,1.585,-1.933,-1.257,0.01,43.895,1.286,0
78,2.277,-0.193,-0.184,-1.158,44.421,1.227,0
183,0.298,0.259,-0.082,-0.038,44.474,1.098,1
170,0.379,-0.292,0.154,0.187,40.263,1.009,1
112,1.569,-0.346,0.662,-0.627,39.0,1.148,0
149,1.052,-0.79,1.009,-0.204,38.053,1.339,0
167,1.329,0.891,0.185,0.199,37.316,1.142,0
86,1.869,0.138,-0.846,1.09,38.947,1.085,0
89,2.048,-1.31,-0.063,1.175,34.579,1.148,0
148,1.39,0.22,-0.599,0.713,37.0,1.114,0
149,0.962,0.226,-0.482,-0.325,31.368,1.108,1
75,1.379,1.731,-0.019,-0.024,35.0,1.108,0
184,0.344,-0.221,0.232,-0.029,38.684,1.076,1
175,0.249,0.06,0.118,-0.133,38.526,0.943,1
88,1.958,0.062,0.09,0.348,42.421,1.01,0
171,0.969,0.84,0.255,0.095,46.474,0.941,1
89,1.544,1.195,0.051,0.949,50.368,0.87,0
115,1.332,-0.344,-0.265,0.127,51.105,0.982,0
150,0.765,-0.026,0.116,-0.14,50.895,1.054,0
155,1.021,0.75,-0.149,0.265,47.421,0.957,0
107,1.065,0.49,-0.265,0.147,49.105,0.92,0
116,0.727,0.336,0.488,-0.299,44.053,0.926,0
184,0.282,0.024,-0.293,-0.023,46.947,0.828,1
159,0.897,0.931,-0.383,0.032,45.211,0.739,1
74,2.0,-0.158,-0.946,-1.157,47.737,0.765,0
164,0.426,0.301,0.33,0.178,51.526,0.746,1
164,0.669,-0.607,0.215,-0.12,47.263,0.709,1
121,1.341,-1.518,0.043,0.348,49.368,0.79,0
175,0.504,0.204,-0.518,0.41,49.105,0.866,0
134,1.09,-0.146,-0.823,0.287,51.211,0.783,0
166,0.235,-0.334,0.05,-0.069,49.0,0.769,1
178,0.063,-0.035,-0.034,0.026,43.895,0.716,1
188,0.213,-0.108,0.088,-0.028,43.947,0.615,1
172,0.22,-0.218,-0.011,-0.025,40.211,0.573,1
160,0.825,-0.278,0.029,0.179,36.474,0.58,1
167,0.211,0.065,-0.083,-0.039,32.526,0.532,1
180,0.303,0.018,-0.45,-0.15,31.842,0.527,1
132,1.393,0.398,0.493,-1.108,32.526,0.648,0
144,1.51,0.713,0.844,-0.274,32.895,0.739,0
121,1.65,-0.767,-0.846,-0.2,31.579,0.688,0
120,1.897,-0.025,-0.889,0.071,31.158,0.811,0
189,0.202,-0.03,-0.02,0.037,31.211,0.818,1
154,0.912,-0.227,-0.396,0.086,31.737,0.736,1
86,1.86,0.11,2.799,0.971,30.842,0.812,0
131,0.692,0.066,0.014,-0.017,28.474,0.833,0
167,0.653,0.338,0.696,-0.29,30.368,0.907,1
161,1.035,0.175,0.925,-0.394,28.421,1.093,0
148,0.887,0.905,0.926,0.023,26.263,1.261,0
121,0.778,0.517,-1.062,-0.048,25.526,1.377,0
121,1.415,-0.013,1.391,0.458,23.842,1.459,0
137,1.518,-0.572,1.172,-0.117,24.053,1.722,0
138,1.001,-0.56,-0.113,-0.106,23.579,1.876,0
96,1.611,-0.114,0.015,-0.927,24.947,1.696,0
75,2.157,1.343,1.253,0.606,25.421,1.66,0
97,2.346,-0.117,0.913,-0.411,26.211,1.78,0
192,0.25,-0.122,0.153,0.049,30.526,1.428,1
158,0.569,0.148,-0.684,0.149,29.789,1.517,0
164,1.571,-0.213,1.354,-0.332,29.474,1.634,0
155,1.201,-0.058,-0.016,-0.003,28.737,1.405,0
152,0.95,-0.602,-0.04,0.539,28.842,1.472,1
160,0.186,-0.07,-0.109,0.007,25.632,1.386,1
85,2.109,-0.941,-1.452,-0.486,27.737,1.366,0
85,1.902,0.521,-3.474,0.583,24.158,1.373,0
186,0.246,-0.014,-0.107,-0.033,27.105,1.285,1
137,0.716,-0.48,0.661,-0.199,27.789,1.191,0
149,1.173,0.026,-0.106,-0.272,28.105,1.077,0
175,0.274,0.078,0.117,0.097,28.789,0.992,1
139,1.32,-1.209,1.412,0.9,29.263,0.963,0
161,0.76,-0.124,-0.212,0.276,30.421,0.852,1
134,1.12,0.277,0.572,-0.306,31.0,0.757,0
77,1.554,1.235,-0.89,0.402,33.947,0.904,0
69,1.649,1.166,1.297,0.427,32.158,0.946,0
92,2.068,-1.586,-0.356,-0.383,32.263,0.939,0
171,0.354,0.162,0.367,-0.05,35.263,0.926,1
141,0.933,1.109,-0.249,0.337,31.842,0.912,0
161,0.814,0.194,0.413,-0.084,31.105,0.972,1
86,1.894,0.499,0.947,0.729,34.737,0.905,0
135,1.114,-0.589,2.19,0.18,36.842,0.817,0
180,0.387,-0.146,0.133,-0.013,39.053,0.848,1
158,0.897,-0.127,-1.009,0.317,39.789,0.89,0
131,0.788,0.299,0.033,-0.182,37.263,0.885,0
104,1.794,-0.267,-0.461,-0.006,38.684,1.011,0
164,0.347,-0.068,-0.244,0.021,36.526,0.971,0
74,1.431,0.026,0.998,0.336,38.684,1.101,0
82,1.783,-1.619,0.675,0.944,38.474,1.241,0
194,0.471,0.369,0.16,-0.018,43.0,1.069,1
166,0.603,0.145,0.148,0.108,42.579,0.937,1
123,0.983,-0.619,-0.537,0.224,43.684,0.847,0
81,1.961,-0.297,-0.447,-0.275,44.474,0.989,0
66,1.446,-0.999,1.831,-0.373,42.263,1.021,0
93,1.712,-0.708,-1.44,0.189,43.263,1.036,0
145,1.271,1.32,-1.713,0.075,44.789,1.012,0
143,1.405,-0.304,0.525,0.348,40.737,1.08,0
168,0.275,0.133,-0.044,-0.064,40.474,1.064,1
133,1.188,0.351,-0.765,-0.15,41.263,1.07,0
96,1.818,0.133,0.822,0.054,39.263,1.161,0
124,1.277,-1.173,0.604,0.061,38.158,1.03,0
120,1.365,-0.381,-0.964,0.192,36.0,1.153,0
137,1.835,-1.787,-1.051,0.336,35.737,1.131,0
161,0.685,-0.325,-0.076,0.121,35.579,1.027,1
169,0.045,0.034,0.017,0.001,34.579,1.068,1
85,1.414,-1.105,-1.739,-0.162,35.842,1.192,0
96,1.788,0.853,1.447,0.568,31.684,1.335,0
94,2.379,0.066,1.69,0.22,31.368,1.229,0
93,2.375,-2.174,-1.645,0.609,25.526,1.246,0
138,1.192,0.853,-0.1,-0.188,26.421,1.153,0
146,1.562,0.34,-1.613,-0.168,24.579,1.213,0
120,1.315,1.16,0.299,-0.233,23.737,1.187,0
126,0.88,-1.137,-0.016,-0.148,23.263,1.23,0
75,1.617,0.491,0.121,-0.179,24.526,1.234,0
159,0.973,0.52,0.617,0.108,26.211,1.12,0
87,1.919,0.195,-0.975,0.35,29.895,1.188,0
132,1.097,-0.444,0.944,0.313,30.947,1.11,0
167,0.237,-0.072,0.069,-0.06,30.947,1.004,1
77,2.088,-0.055,-0.427,-0.009,33.737,1.141,0
129,1.058,-0.248,0.955,-0.343,35.0,1.225,0
179,0.867,-0.417,-0.263,-0.209,37.421,1.143,0
126,1.494,0.082,0.477,-0.513,39.316,1.08,0
168,0.289,0.186,-0.148,0.084,40.263,0.953,1
143,1.038,0.962,-0.209,-0.349,41.158,0.846,0
143,0.718,0.094,0.559,-0.38,36.737,0.844,1
130,1.631,-0.376,-0.062,0.236,36.842,0.836,0
132,1.645,-1.503,0.291,0.108,36.842,0.856,0
188,0.183,0.073,0.098,0.035,39.737,0.798,1
110,1.095,-0.875,0.154,-0.139,41.474,0.758,0
96,1.736,-3.75,-0.73,-0.456,41.789,0.826,0
99,2.028,2.187,-0.385,-0.39,40.579,0.806,0
180,0.2,0.065,-0.028,-0.012,44.526,0.774,1
87,2.296,0.97,1.114,1.107,46.737,0.943,0
99,2.109,-1.783,0.563,0.538,42.947,0.881,0
147,1.496,-0.175,0.49,-0.009,41.684,0.86,0
152,0.555,-0.292,0.251,0.022,39.579,0.867,0
87,1.9,1.481,0.761,-0.407,41.158,0.899,0
101,2.209,-0.483,2.917,-1.366,37.158,1.099,0
187,0.107,-0.082,-0.104,0.012,38.947,1.129,1
136,1.231,0.111,0.008,-0.547,39.0,1.191,0
91,1.298,2.112,0.405,0.082,38.579,1.166,0
142,1.196,-0.202,0.461,0.676,39.053,1.119,0
165,0.978,-0.588,0.051,-0.156,38.947,1.212,1
165,0.711,0.054,-0.921,-0.134,38.947,1.228,1
150,1.514,-0.932,0.552,0.667,39.053,1.16,0
134,1.762,0.22,-1.033,0.919,39.789,1.137,0
176,0.294,0.144,0.106,0.092,39.053,1.205,1
79,2.132,-0.379,1.546,-1.123,40.053,1.061,0
137,1.318,0.084,-0.504,-0.023,42.368,1.017,0
101,1.227,0.507,0.143,-0.071,44.105,0.979,0
118,1.204,0.104,-1.325,-0.301,40.737,1.031,0
154,0.984,-0.486,0.968,-0.568,37.737,0.96,1
143,1.396,-0.438,0.421,0.439,37.684,0.833,0
80,1.98,1.014,-0.587,0.169,38.474,0.966,0
167,0.802,-0.028,-0.106,0.046,42.789,0.921,0
171,0.359,-0.074,-0.215,0.236,39.579,0.889,1
176,0.214,-0.008,-0.057,0.042,39.105,0.859,1
156,0.829,1.15,-0.324,-0.081,35.632,0.818,0
144,1.411,-1.07,0.82,-0.344,33.579,0.869,0
120,0.445,0.145,0.548,0.02,32.474,0.825,0
126,1.147,0.876,-0.545,0.263,30.105,0.805,0
101,2.258,2.578,3.882,-0.611,30.211,0.901,0
155,1.456,0.26,-0.406,-0.039,33.053,0.874,0
83,2.186,-0.075,0.186,0.312,36.053,0.957,0
115,1.566,-1.78,0.592,-0.098,36.895,0.989,0
150,1.699,-0.123,-1.366,-0.248,36.526,0.982,0
123,1.145,-0.36,1.653,0.431,32.842,1.04,0
165,0.767,0.26,0.018,-0.481,32.0,1.052,1
87,1.663,-0.688,0.467,0.654,34.211,0.933,0
101,1.89,0.842,0.862,-0.17,34.053,1.013,0
124,1.343,0.253,-1.196,0.245,33.368,1.121,0
103,2.073,-0.112,0.859,-1.552,33.895,1.296,0
152,1.215,-1.437,0.21,-0.526,33.158,1.331,0
94,2.194,1.47,0.031,1.089,31.632,1.323,0
169,0.348,-0.056,-0.29,0.141,35.368,1.403,1
176,0.597,-0.001,-0.226,0.293,35.474,1.423,1
154,0.561,0.347,-0.128,-0.068,35.579,1.169,0
169,0.511,0.247,0.025,0.049,35.737,1.16,0
185,0.149,-0.065,-0.076,-0.09,35.316,0.99,1
91,1.778,2.016,0.254,-0.449,39.947,0.983,0
94,1.712,-0.372,0.19,-0.015,38.789,0.958,0
185,0.414,0.225,-0.176,0.274,40.737,0.911,1
98,2.378,-0.691,0.079,0.571,41.526,1.031,0
134,1.683,0.576,0.103,0.757,41.737,1.05,0
183,0.225,-0.108,-0.128,-0.097,42.474,0.903,1
85,2.436,1.429,-3.487,-0.413,46.211,0.913,0
176,0.149,-0.002,-0.193,0.056,48.789,0.747,1
61,1.312,0.065,-0.327,0.591,50.737,0.739,0
167,0.932,-0.869,-0.785,-0.023,55.579,0.659,1
191,0.244,0.01,0.05,-0.07,55.632,0.657,1
146,1.537,-0.58,-0.652,-0.596,56.895,0.715,0
136,1.027,-0.294,0.378,-0.193,54.842,0.797,0
90,1.714,0.188,-1.019,0.054,54.211,0.895,0
161,0.787,-0.907,0.55,0.219,54.0,1.034,0
188,0.29,-0.104,0.099,0.008,55.053,0.939,1
114,1.275,0.869,0.275,0.51,57.789,0.914,0
167,0.602,-0.527,0.085,-0.358,59.789,0.964,0
131,1.498,-0.132,0.028,-0.078,60.842,0.835,0
148,1.649,0.431,0.165,-1.185,56.789,0.832,0
126,0.65,-0.355,0.139,-0.01,57.789,0.937,0
89,2.046,1.358,0.509,-0.591,54.947,0.86,0
111,1.499,-0.176,-0.155,-0.421,51.526,1.043,0
79,1.902,-0.265,0.012,0.651,51.316,1.073,0
120,1.173,-0.093,-0.142,0.061,50.895,1.178,0
183,0.155,-0.017,0.026,-0.013,49.053,1.18,1
181,0.26,-0.033,-0.283,0.205,44.368,1.031,1
80,1.981,-1.922,0.412,-0.374,43.632,1.06,0
126,1.285,-1.219,0.299,0.263,40.474,0.964,0
162,0.588,-0.243,0.278,-0.32,41.105,0.919,0
171,0.268,-0.167,0.07,-0.061,39.211,0.999,1
174,0.0,0.0,0.0,0.0,38.842,0.948,1
156,0.549,-0.037,-0.266,-0.041,37.368,0.934,1
156,0.924,-0.9,0.709,0.002,33.632,0.95,1
146,1.299,0.109,0.042,-0.517,32.737,0.93,0
182,0.315,-0.192,0.162,-0.03,30.737,0.885,1
176,0.261,0.156,0.101,0.163,28.263,0.793,1
90,2.306,0.055,3.055,-0.897,30.895,0.778,0
134,1.18,-0.316,0.434,-0.552,32.316,0.711,0
163,0.605,-0.286,-0.355,-0.092,32.684,0.67,1
137,0.904,0.136,1.175,-0.301,32.105,0.715,0
141,1.435,0.793,-0.413,-0.186,31.158,0.841,0
191,0.111,-0.06,-0.208,0.002,32.105,0.688,1
147,1.536,0.843,-0.91,0.745,32.263,0.72,0
123,0.809,-0.131,-0.073,-0.01,30.211,0.742,0
175,1.503,-0.369,-0.952,-0.848,32.842,0.816,0
151,1.221,0.636,-0.237,0.098,28.789,0.962,1
145,0.59,-0.784,-0.069,0.148,26.684,0.968,0
151,0.734,0.259,-0.234,-0.086,25.105,0.992,0
160,0.447,-0.232,0.305,-0.043,25.105,0.957,1
151,1.853,0.124,-0.676,-0.202,25.421,1.088,0
154,0.319,0.456,-0.022,0.159,24.632,1.248,1
162,1.095,0.248,-1.275,-0.495,25.053,1.081,1
154,0.728,0.056,-0.258,-0.402,24.947,1.107,1
82,1.529,2.476,0.222,-0.39,26.842,1.237,0
162,0.738,-0.365,-0.218,-0.445,30.737,1.151,1
149,1.004,0.305,-0.096,-0.073,26.895,1.023,1
97,1.938,0.868,-0.134,1.024,27.316,1.334,0
185,0.153,-0.124,0.014,-0.008,30.421,1.194,1
134,1.378,1.158,2.095,-0.218,31.737,1.218,0
176,0.212,0.04,0.074,0.082,33.737,1.015,1
142,1.174,0.308,1.292,-0.278,32.895,0.929,0
137,1.131,-0.402,0.445,0.087,30.842,0.962,0
142,0.953,0.214,0.319,0.031,29.842,0.989,0
168,0.623,-0.342,0.292,0.004,28.474,1.062,0
176,0.229,-0.188,-0.128,0.056,27.632,0.852,1
179,0.349,0.095,-0.306,0.013,27.474,0.851,1
154,1.411,-0.499,-1.061,0.168,28.474,0.945,0
133,1.543,0.764,0.458,-0.747,29.105,1.034,0
182,0.246,0.035,0.172,0.046,31.211,0.883,1
132,0.608,0.606,-0.422,0.464,33.684,0.884,0
88,2.102,-1.334,0.329,-0.365,35.579,0.988,0
179,0.186,-0.069,0.05,0.018,39.947,0.767,1
155,0.526,-0.137,0.524,-0.063,37.421,0.864,1
71,1.609,0.715,-0.278,0.073,37.632,0.847,0
179,0.233,0.246,-0.024,-0.08,42.632,0.927,1
129,1.356,-0.693,0.541,0.899,42.526,0.943,0
161,0.5,-0.266,-0.188,-0.165,39.579,0.864,0
143,1.401,0.568,-1.363,-0.563,37.842,0.882,0
140,0.969,0.575,-0.221,0.175,35.789,0.895,0
151,1.495,-0.612,-1.383,-0.034,34.579,1.101,0
94,1.627,0.149,-1.514,1.081,37.316,1.195,0
169,0.236,0.153,-0.006,-0.02,41.0,1.08,1
175,0.851,-0.555,0.256,-0.199,39.947,0.971,0
169,0.677,-0.226,0.278,-0.129,39.842,1.099,1
145,0.913,-0.377,1.332,-0.162,40.947,1.133,1
107,2.114,-1.063,-0.762,0.377,41.632,1.046,0
183,0.25,0.155,0.145,0.086,44.526,1.2,1
127,1.23,0.149,-0.365,-0.375,44.895,1.22,0
149,1.089,-0.176,-0.478,-0.084,43.421,1.158,0
128,1.444,1.198,1.097,0.308,42.211,1.25,0
95,2.052,1.158,0.23,-0.588,39.158,1.286,0
142,1.095,-0.006,0.04,0.633,40.368,1.398,0
74,1.842,-0.35,-0.969,0.026,39.526,1.384,0
167,0.344,0.037,-0.073,0.222,38.737,1.301,1
184,0.241,-0.101,-0.057,0.019,37.0,1.101,1
184,0.015,0.0,0.011,0.002,35.316,0.91,1
156,1.444,0.217,-0.252,0.237,35.842,1.066,0
136,1.305,-0.773,-1.766,0.169,36.737,1.151,0
102,2.342,0.667,-0.356,-0.332,37.947,1.233,0
112,1.09,-0.137,0.952,-0.535,35.474,1.219,0
131,1.342,0.682,-0.46,0.512,32.526,1.165,0
74,1.685,-0.77,2.614,0.212,35.211,1.258,0
168,1.023,-1.539,-0.472,-0.141,39.842,1.187,1
95,1.46,0.505,2.158,-0.048,42.421,1.253,0
143,1.775,-0.842,0.738,-0.151,42.947,1.18,0
169,0.454,-0.148,-0.362,-0.039,40.316,1.036,1
178,0.231,-0.176,0.15,-0.079,37.842,0.951,1
149,0.802,-0.296,-0.136,0.253,38.211,0.87,0
169,0.737,-0.79,1.279,0.176,38.158,0.924,0
87,1.874,-1.265,-1.224,0.316,40.737,1.098,0
149,1.552,0.658,-0.078,-0.139,41.526,1.328,0
173,0.859,0.858,-0.706,-0.253,39.211,1.188,1
93,2.04,1.372,1.921,-0.041,38.526,1.2,0
185,0.312,-0.038,-0.198,0.081,42.474,0.973,1
151,0.721,-0.142,-0.059,0.032,44.263,0.942,1
180,0.138,0.114,0.169,0.006,44.316,0.914,1
181,0.214,0.029,0.071,-0.01,43.316,0.765,1
182,0.247,0.134,0.347,-0.104,41.579,0.731,1
102,1.764,0.898,0.686,0.074,45.263,0.733,0
141,1.823,0.726,0.224,0.224,46.316,0.722,0
118,0.788,0.176,-0.417,0.258,44.526,0.808,0
167,0.302,-0.145,-0.056,0.017,42.158,0.854,1
178,0.04,-0.041,0.006,-0.003,38.895,0.862,1
97,1.888,-2.13,-1.778,-0.361,40.632,0.913,0
79,1.338,1.182,0.639,0.326,40.211,0.798,0
158,1.11,-0.462,-0.239,-0.681,43.895,0.711,1
145,1.462,0.543,-0.329,-0.288,43.053,0.766,0
170,0.733,-0.099,0.427,-0.285,43.316,0.669,1
174,0.345,0.011,0.162,-0.039,39.211,0.749,1
172,0.594,-0.433,-0.122,0.203,36.053,0.758,1
139,1.459,-0.864,-1.04,0.287,36.526,0.901,0
108,1.989,-0.357,0.811,-0.424,33.947,1.119,0
86,2.408,1.302,-0.551,-1.15,30.263,1.345,0
150,1.146,0.617,0.864,0.408,31.842,1.27,0
146,1.153,-0.518,0.794,-0.247,30.526,1.217,0
90,1.54,-0.027,0.45,0.354,33.421,1.241,0
180,0.266,0.341,0.185,0.003,38.105,1.233,1
91,1.945,0.312,0.445,0.784,38.579,1.445,0
150,0.89,-0.577,0.179,0.138,39.632,1.262,1
77,2.02,-0.622,-0.172,-1.244,42.263,1.359,0
174,0.115,0.098,0.041,-0.024,44.789,1.33,1
97,1.496,-0.295,0.87,0.568,48.263,1.276,0
85,2.001,2.244,-0.905,-0.999,44.632,1.504,0
69,2.225,-0.703,-0.221,0.53,44.526,1.645,0
138,1.341,-0.343,-1.333,0.19,44.0,1.72,0
102,1.453,0.411,2.745,0.482,45.211,1.558,0
167,0.22,0.061,-0.044,-0.018,47.316,1.273,1
77,1.757,1.625,-1.363,-0.73,51.842,1.084,0
188,0.293,0.06,-0.023,-0.006,57.579,1.074,1
176,0.155,-0.088,0.082,-0.072,56.474,1.057,1
141,1.391,-0.883,0.52,-0.049,56.684,1.003,0
92,1.84,-0.942,-1.178,-0.54,58.105,1.096,0
164,0.837,-0.37,-0.979,0.175,58.526,0.931,0
154,1.805,0.425,-1.178,-0.067,58.842,1.031,0
157,0.416,-0.251,0.032,-0.046,56.053,0.91,0
91,0.858,0.408,0.254,0.348,54.789,1.001,0
140,1.254,1.065,1.386,-0.055,52.684,0.986,0
139,1.075,0.332,-1.169,0.205,49.632,0.874,0
87,2.115,-1.476,-0.454,0.605,48.526,0.791,0
131,1.218,-0.22,-0.219,0.37,45.737,0.759,0
96,1.336,-0.291,0.238,0.214,43.526,0.754,0
171,1.004,-0.253,0.493,-0.275,46.842,0.858,0
143,1.109,0.538,-0.086,0.544,47.474,0.854,0
130,1.096,-0.404,1.003,-0.146,44.526,0.936,0
151,0.895,-0.01,0.055,0.313,43.737,1.03,1
172,0.867,-0.406,0.259,-0.505,41.421,1.009,1
100,1.762,1.237,-0.287,-0.675,40.474,0.922,0
162,0.196,0.017,-0.086,-0.008,37.895,0.943,0
72,1.58,-0.184,0.631,0.089,42.0,0.886,0
172,0.954,0.066,0.169,-0.195,45.421,0.999,0
76,1.767,0.182,0.048,0.705,47.895,1.008,0
133,1.532,-0.007,0.199,0.136,47.105,1.037,0
116,1.374,-0.655,-2.326,-0.117,47.474,1.112,0
177,0.292,-0.198,-0.012,-0.029,50.526,1.01,1
176,0.161,0.057,-0.027,-0.018,47.105,0.954,1
95,1.355,0.937,-0.083,0.015,48.789,0.962,0
79,2.001,2.102,-0.693,0.248,49.579,0.976,0
150,0.885,-0.276,0.577,-0.555,50.579,1.001,1
157,0.469,0.402,-0.152,0.1,48.632,0.919,0
134,1.713,-0.415,2.092,1.024,48.0,0.926,0
74,1.598,0.327,0.713,0.267,47.211,0.995,0
165,0.124,-0.091,0.008,-0.019,50.526,0.907,1
186,0.18,-0.153,0.157,0.023,50.947,0.94,1
173,0.403,0.102,0.447,0.065,50.526,0.882,1
176,0.154,0.238,0.016,0.038,49.579,0.809,1
95,1.775,1.467,-2.335,-0.757,50.053,0.769,0
135,1.498,0.749,0.538,0.431,48.895,0.755,0
172,0.749,0.123,-0.124,0.251,46.105,0.71,0
132,1.615,-0.592,0.772,-0.001,42.947,0.864,0
88,1.553,0.872,-0.788,-0.054,40.211,1.009,0
128,1.425,0.563,0.199,0.426,39.316,1.012,0
95,1.933,-0.325,1.032,0.795,40.158,0.949,0
155,0.68,-0.124,0.813,-0.059,40.105,0.949,1
143,1.382,0.284,-0.911,0.018,40.684,1.043,0
78,2.27,-0.655,1.635,-0.41,39.842,1.026,0
101,1.771,-0.413,-0.23,0.177,40.211,0.993,0
83,2.12,0.204,-1.418,-0.16,37.421,1.219,0
88,1.773,1.713,-1.0,-0.962,37.316,1.32,0
179,0.298,-0.061,0.131,0.13,40.895,1.418,1
147,0.203,-0.056,-0.031,0.077,39.421,1.503,1
156,0.643,-0.089,-0.018,-0.096,35.105,1.421,0
168,0.749,0.399,0.347,-0.097,34.632,1.371,1
185,0.303,-0.112,0.219,0.11,34.842,1.402,1
162,0.618,-0.203,0.348,-0.283,35.895,1.207,1
128,1.16,0.011,-1.115,-0.242,33.421,1.078,0
159,0.935,-0.737,0.824,0.107,32.947,1.043,0
172,0.129,0.06,-0.005,-0.001,31.684,0.935,1
78,1.518,-0.376,0.436,0.066,34.526,1.0,0
185,0.082,-0.04,0.083,-0.011,37.842,0.868,1
76,1.48,0.748,-0.649,-0.162,41.474,0.795,0
194,0.225,-0.26,0.202,0.041,45.947,0.699,1
82,1.893,-0.662,-0.752,-0.566,48.684,0.616,0
156,1.17,1.05,0.897,-0.351,51.947,0.541,0
147,0.757,-0.265,0.04,-0.229,49.0,0.565,0
172,0.32,0.038,-0.484,0.041,49.105,0.569,1
180,0.444,0.025,0.043,-0.129,48.579,0.592,1
109,1.502,-0.685,-0.64,0.059,52.053,0.654,0
171,0.132,0.082,0.137,0.02,50.526,0.661,1
166,0.775,-0.77,0.866,0.255,49.105,0.707,1
94,2.123,-0.11,-0.165,-0.979,52.421,0.778,0
78,1.685,-1.367,-1.473,0.172,52.632,0.845,0
84,1.665,-0.406,0.097,-0.807,52.053,1.049,0
165,0.545,0.074,0.198,0.231,55.105,0.932,0
176,0.153,-0.116,-0.005,-0.026,53.895,1.02,1
178,0.252,-0.141,0.012,0.106,52.368,0.99,1
94,2.079,0.281,-0.713,0.603,56.105,1.266,0
181,0.217,0.042,0.062,-0.066,55.737,1.15,1
137,1.653,-0.572,0.293,0.092,52.421,1.254,0
86,1.893,1.617,1.606,-0.017,49.368,1.301,0
136,1.637,0.421,1.875,-0.51,45.789,1.398,0
168,0.245,-0.087,0.049,-0.059,41.579,1.405,1
151,1.029,-0.592,-0.001,-0.329,38.579,1.283,0
130,1.247,0.234,0.482,0.631,39.211,1.391,0
154,0.676,0.614,-0.522,0.091,39.158,1.365,1
181,0.202,-0.065,0.078,0.043,40.158,1.125,1
86,1.791,-0.431,0.835,-0.575,41.421,1.074,0
150,0.615,-0.312,-0.064,-0.165,41.526,0.902,1
89,1.968,-0.478,-1.445,-0.527,44.474,1.058,0
145,1.455,0.399,0.775,0.007,43.632,1.141,0
181,0.152,-0.056,-0.181,0.093,44.684,1.236,1
176,0.206,-0.046,0.028,-0.061,44.632,0.967,1
147,0.723,-0.047,-0.028,0.183,41.895,1.121,1
123,1.324,1.139,-1.382,-0.318,42.579,1.06,0
155,0.776,-0.077,-0.291,0.054,44.158,0.91,0
91,2.261,-0.168,1.008,-0.1,43.105,0.876,0
184,0.24,0.037,0.077,-0.09,43.421,0.886,1
86,1.91,-0.185,-0.794,0.633,46.263,0.967,0
179,0.182,-0.01,0.045,0.086,48.474,0.842,1
135,0.711,0.511,-0.321,0.223,48.158,0.849,0
136,1.475,-0.385,-1.247,0.122,46.526,1.04,0
168,0.617,-0.178,0.1,0.039,47.316,0.956,1
177,0.2,-0.092,0.141,-0.08,46.684,0.998,1
160,1.033,-0.636,-0.106,0.184,46.316,0.847,1
160,1.07,0.636,-1.184,-0.252,44.895,0.76,1
175,0.333,-0.478,-0.204,0.098,40.684,0.775,1
87,1.675,0.042,0.453,0.74,41.947,0.97,0
158,0.619,0.742,0.438,-0.318,42.474,0.931,1
93,1.443,0.383,0.152,-0.066,42.947,0.959,0
151,1.045,0.514,-0.293,-0.25,44.105,1.055,0
147,1.294,-0.013,-0.744,0.356,44.053,0.944,0
186,0.237,0.096,0.106,-0.045,44.579,0.944,1
143,0.663,0.134,-0.171,0.4,45.579,0.81,1
152,0.511,-0.097,-0.246,0.088,44.368,0.893,0
103,1.892,1.216,0.104,0.141,43.579,0.972,0
111,1.686,-0.38,-0.568,-0.248,39.105,0.907,0
62,2.08,2.099,-0.229,-0.447,36.526,1.08,0
104,1.377,-1.266,0.223,0.475,33.842,1.194,0
168,0.283,0.27,-0.232,-0.119,34.895,1.222,1
185,0.364,0.022,-0.098,-0.106,35.737,1.204,1
134,1.337,0.779,-0.582,-0.059,36.737,1.264,0
166,1.005,1.194,-0.848,-0.51,37.947,1.09,1
144,1.165,0.284,0.71,-0.41,38.211,1.136,0
130,1.391,-1.523,0.836,0.245,38.947,1.123,0
118,1.041,1.274,1.252,-0.03,38.789,1.102,0
84,1.733,1.557,-0.081,-1.09,35.947,1.211,0
88,1.29,0.289,0.205,0.025,32.421,1.287,0
88,1.358,-0.241,0.577,-0.066,29.0,1.47,0
176,0.362,0.147,0.042,0.165,30.579,1.421,1
146,0.872,0.682,0.071,-0.014,31.947,1.229,1
162,0.737,-0.12,-0.05,-0.085,30.737,1.145,0
151,0.944,0.354,0.841,-0.291,29.053,0.967,0
154,0.8,-0.316,0.365,0.183,28.737,0.866,0
112,0.843,-0.009,0.148,0.123,28.368,0.94,0
131,1.051,0.129,0.355,-0.047,28.947,1.027,0
169,0.402,0.01,-0.43,0.093,28.368,0.908,1
171,0.431,-0.278,-0.102,-0.18,26.263,0.91,1
